Code No,Item,Unit,Quantity,Min,Max,Date
3032,Zucchini,Quintal,11,2000.0,3000.0,2025-03-30
3035,Celery,Quintal,7,1000.0,5000.0,2025-03-30
3036,Mushroom,Quintal,5,10000.0,12000.0,2025-03-30
3037,Lotus Root,Quintal,4,4500.0,5000.0,2025-03-30
3041,Chinese Cucumber,Quintal,8,200.0,1000.0,2025-03-30
3042,Chinese Garlic,Quintal,2,6000.0,7000.0,2025-03-30
3001,Coriander,Per Hundred,179812,300.0,1200.0,2025-03-30
3002,Fenugreek,Per Hundred,53675,500.0,1200.0,2025-03-30
3003,Dill,Per Hundred,16250,300.0,800.0,2025-03-30
3004,Spring Onion,Per Hundred,10030,500.0,1000.0,2025-03-30
3005,Spinach,Per Hundred,9770,400.0,700.0,2025-03-30
3006,Radish,Per Hundred,3165,500.0,1200.0,2025-03-30
3007,Amaranth Leaves,Per Hundred,5030,400.0,700.0,2025-03-30
3008,Mustard,Per Hundred,500,400.0,800.0,2025-03-30
3009,Amaranth,Per Hundred,3850,400.0,700.0,2025-03-30
3011,Mint,Per Hundred,28975,150.0,500.0,2025-03-30
3014,Chia Seeds,Per Hundred,200,500.0,800.0,2025-03-30
3015,Roselle,Per Hundred,100,400.0,700.0,2025-03-30
3016,Chia,Per Hundred,3480,500.0,1000.0,2025-03-30
3022,Iceberg Lettuce,Quintal,11,2500.0,3000.0,2025-03-30
4001,Lemon,Quintal,293,600.0,6000.0,2025-03-30
4002,Guava,Quintal,106,1000.0,5000.0,2025-03-30
4005,Jackfruit,Quintal,49,1000.0,4000.0,2025-03-30
4007,Pear,Quintal,8,6000.0,7500.0,2025-03-30
4027,Pomegranate,Quintal,4,2000.0,8000.0,2025-03-30
4034,Jamun,Quintal,316,4000.0,9000.0,2025-03-30
4038,Pineapple,Quintal,288,2600.0,5300.0,2025-03-30
4044,Fig,Quintal,18,5000.0,10000.0,2025-03-30
4049,Strawberry,Quintal,9,10000.0,20000.0,2025-03-30
4054,Sapodilla,Quintal,190,2000.0,5000.0,2025-03-30
4059,Pomegranate - No.1,Quintal,163,1500.0,15000.0,2025-03-30
4063,Apple - Shimla,Quintal,276,3000.0,14000.0,2025-03-30
4074,Karonda,Quintal,1838,500.0,1200.0,2025-03-30
4081,Amla,Quintal,42,2500.0,3000.0,2025-03-30
4086,Banana,Quintal,27,500.0,2500.0,2025-03-30
4088,Sweet Lime,Quintal,214,3000.0,6000.0,2025-03-30
4102,Papaya,Quintal,106,1000.0,2000.0,2025-03-30
4142,Grapes - Tasgaon,Quintal,586,2500.0,13500.0,2025-03-30
5003,Rice - Basmati,Quintal,41,7000.0,12000.0,2025-03-30
5004,Rice - Basmati Dubar,Quintal,765,5400.0,6800.0,2025-03-30
5005,Rice - Mogara,Quintal,563,4600.0,6000.0,2025-03-30
5006,Rice Flakes,Quintal,620,3400.0,4200.0,2025-03-30
5007,Rice - Ambemohar,Quintal,38,6300.0,8300.0,2025-03-30
5008,Rice - Kolam,Quintal,664,4200.0,6800.0,2025-03-30
5010,Rice - Dass,Quintal,685,3400.0,4000.0,2025-03-30
5011,Rice - Ukada,Quintal,410,3200.0,4300.0,2025-03-30
5012,Rice - Masuri,Quintal,425,3500.0,4000.0,2025-03-30
5013,Rice - Indrayani,Quintal,102,4600.0,6000.0,2025-03-30
5015,Wheat - Lokwan,Quintal,2589,3000.0,4200.0,2025-03-30
5017,Wheat - Gujarat Vinat,Quintal,669,3300.0,4400.0,2025-03-30
5018,Wheat - Gujarat Tukdi,Quintal,452,3400.0,4500.0,2025-03-30
5019,Wheat - Sinhor,Quintal,430,4200.0,5600.0,2025-03-30
5021,Sorghum - Maldandi No.1,Quintal,751,4400.0,5200.0,2025-03-30
5022,Sorghum - Maldandi No.2,Quintal,425,4300.0,5000.0,2025-03-30
5024,Sorghum - Vasant No.9,Quintal,549,4100.0,4500.0,2025-03-30
5025,Sorghum - Duri,Quintal,421,4000.0,4600.0,2025-03-30
5026,Pearl Millet - Gowran,Quintal,547,2800.0,2900.0,2025-03-30
5027,Pearl Millet - Hybrid,Quintal,365,2900.0,3200.0,2025-03-30
5028,Pearl Millet - Mahico No.910,Quintal,385,3000.0,3300.0,2025-03-30
5030,Peas - Green,Quintal,37,10000.0,11500.0,2025-03-30
5031,Peas - White,Quintal,35,4300.0,5700.0,2025-03-30
5033,Lentil,Quintal,40,7000.0,7400.0,2025-03-30
5035,Coriander - Indore,Quintal,1,10000.0,14000.0,2025-03-30
5036,Coriander - Gowran,Quintal,2,9000.0,11000.0,2025-03-30
5037,Chickpeas - Chafa,Quintal,44,7300.0,8300.0,2025-03-30
5038,Chickpeas - Hybrid,Quintal,41,7000.0,8000.0,2025-03-30
5041,Black Gram,Quintal,4,9200.0,10000.0,2025-03-30
5043,Maize - Red,Quintal,3,2400.0,2600.0,2025-03-30
5045,Tamarind - Old,Quintal,3,6000.0,7500.0,2025-03-30
5046,Tamarind - New,Quintal,2,9000.0,11000.0,2025-03-30
5047,Peanut - Gunguru,Quintal,776,9700.0,10000.0,2025-03-30
5048,Peanut - Jara,Quintal,337,9800.0,10500.0,2025-03-30
5049,Peanut - Spanish,Quintal,424,10700.0,11900.0,2025-03-30
5050,Turmeric - Rajapuri,Quintal,3,14000.0,20000.0,2025-03-30
5054,Green Gram,Quintal,42,9000.0,9700.0,2025-03-30
5057,Horse Gram,Quintal,4,5500.0,6900.0,2025-03-30
5058,Cowpea,Quintal,6,10400.0,12000.0,2025-03-30
5061,Finger Millet,Quintal,2,4300.0,5000.0,2025-03-30
5063,Jaggery - Type 1,Quintal,330,3815.0,4015.0,2025-03-30
5064,Jaggery - Type 2,Quintal,188,3675.0,3801.0,2025-03-30
5065,Red Jaggery,Quintal,217,3575.0,3651.0,2025-03-30
5067,Box Jaggery,Quintal,271,3800.0,4500.0,2025-03-30
5068,Red Chilli - Byadgi,Quintal,12,15000.0,18000.0,2025-03-30
5069,Red Chilli - Guntur,Quintal,10,14000.0,16000.0,2025-03-30
6009,Dates,10 Kg,1535,400.0,1600.0,2025-03-30
6011,Grated Coconut,25 Kg,1647,2860.0,3000.0,2025-03-30
6018,Amaranth,50 Kg,1245,6400.0,7400.0,2025-03-30
7001,Jasmine,1 Kg,870,400.0,600.0,2025-03-30
7002,Marigold,1 Kg,308,200.0,300.0,2025-03-30
7003,Jasmine,1 Kg,11,400.0,600.0,2025-03-30
7005,Tube Rose,1 Kg,5404,70.0,100.0,2025-03-30
7006,Marigold,1 Kg,45296,20.0,40.0,2025-03-30
7007,Holy Basil,1 Kg,2590,30.0,50.0,2025-03-30
7009,Lightning,1 Kg,3990,30.0,60.0,2025-03-30
7011,White Chrysanthemum,1 Kg,1372,60.0,100.0,2025-03-30
7012,Yellow Chrysanthemum,1 Kg,770,60.0,120.0,2025-03-30
7013,Aster,Per Hundred,4424,10.0,20.0,2025-03-30
7014,Galanda,Per Hundred,994,8.0,12.0,2025-03-30
7015,Lily,Bundle,3024,10.0,18.0,2025-03-30
7016,Rose,Bunch,6916,10.0,20.0,2025-03-30
7018,Tube Rose Stick,Bunch,630,20.0,30.0,2025-03-30
7020,Golden D.J.,Bunch,1330,20.0,30.0,2025-03-30
7021,Gladiolus Plain,Bunch,490,20.0,30.0,2025-03-30
7022,Gladiolus Colored,Bunch,616,40.0,60.0,2025-03-30
7027,Tats,Bunch,126,10.0,20.0,2025-03-30
7028,Gypsy,Bunch,406,100.0,200.0,2025-03-30
7031,Gerbera,Bunch,8162,10.0,30.0,2025-03-30
7032,Carnation,Bunch,924,80.0,120.0,2025-03-30
7033,Dutch Rose,Bunch,5824,60.0,100.0,2025-03-30
7035,Portia Tree,Per Piece,5404,10.0,20.0,2025-03-30
7036,Hibiscus,Per Hundred,294,10.0,20.0,2025-03-30
7038,Lilium,Bunch,196,600.0,900.0,2025-03-30
7039,Orchid,Bunch,35,200.0,400.0,2025-03-30
7040,Anthurium,Bunch,84,60.0,100.0,2025-03-30
7041,Grass,Bunch,3150,10.0,20.0,2025-03-30
7042,Leaf,Bunch,4984,20.0,30.0,2025-03-30
1001,Onion,Quintal,11881,700.0,1900.0,2025-03-29
1002,Potato,Quintal,3938,800.0,2100.0,2025-03-29
1003,Garlic,Quintal,903,4000.0,10000.0,2025-03-29
1004,Ginger,Quintal,245,1000.0,2500.0,2025-03-29
2001,Ladyfinger,Quintal,412,1400.0,5000.0,2025-03-29
2002,Cluster Beans,Quintal,192,3000.0,8000.0,2025-03-29
2003,Tomato,Quintal,2118,500.0,1000.0,2025-03-29
2004,Peas,Quintal,419,4000.0,6000.0,2025-03-29
2005,Ridge Gourd,Quintal,160,4000.0,6000.0,2025-03-29
2006,Tinda,Quintal,95,2000.0,4000.0,2025-03-29
2007,Green Chilli,Quintal,644,1500.0,5000.0,2025-03-29
2008,Bottle Gourd,Quintal,279,600.0,1600.0,2025-03-29
2010,Cucumber,Quintal,1076,1000.0,2000.0,2025-03-29
2011,Bitter Gourd,Quintal,149,2000.0,3000.0,2025-03-29
2012,Yam,Quintal,51,600.0,1500.0,2025-03-29
2013,Carrot,Quintal,678,1000.0,2000.0,2025-03-29
2014,Snake Gourd,Quintal,5,2000.0,4500.0,2025-03-29
2015,Pointed Gourd,Quintal,31,2000.0,2500.0,2025-03-29
2016,Cauliflower,Quintal,775,500.0,1000.0,2025-03-29
2017,Cabbage,Quintal,599,300.0,700.0,2025-03-29
2018,Brinjal,Quintal,397,1000.0,3000.0,2025-03-29
2019,Pumpkin,Quintal,354,1000.0,3000.0,2025-03-29
2020,Elephant Foot Yam,Quintal,7,2000.0,5000.0,2025-03-29
2021,Ivy Gourd,Quintal,80,2000.0,4000.0,2025-03-29
2022,Beetroot,Quintal,287,700.0,1500.0,2025-03-29
2023,Ash Gourd,Quintal,192,1000.0,2500.0,2025-03-29
2024,Parwal,Quintal,9,3000.0,5000.0,2025-03-29
2026,Hyacinth Beans,Quintal,26,2000.0,5000.0,2025-03-29
2027,Drumstick,Quintal,220,1000.0,4000.0,2025-03-29
2028,Raw Mango,Quintal,381,2000.0,4000.0,2025-03-29
2029,Chow Chow,Quintal,13,500.0,3000.0,2025-03-29
2032,Amaranth Leaves,Quintal,43,2000.0,4000.0,2025-03-29
2033,Taro,Quintal,42,2000.0,3000.0,2025-03-29
2035,Pointed Gourd,Quintal,26,3000.0,5000.0,2025-03-29
2036,Zucchini,Quintal,46,1500.0,3000.0,2025-03-29
2037,Curry Leaves,Quintal,19,3000.0,5000.0,2025-03-29
2040,Colocasia,Quintal,5,1600.0,4000.0,2025-03-29
3023,Red and Yellow Pumpkin,Quintal,16,2000.0,5000.0,2025-03-29
3024,Basil,Quintal,1,3500.0,4000.0,2025-03-29
3025,Broccoli,Quintal,31,2000.0,5000.0,2025-03-29
3028,Chinese Cabbage,Quintal,1,2500.0,3000.0,2025-03-29
3029,Red Cabbage,Quintal,1,1000.0,1500.0,2025-03-29
3030,Avocado,Quintal,3,6000.0,7000.0,2025-03-29
3031,Baby Corn,Quintal,2,5000.0,6000.0,2025-03-29
3032,Zucchini,Quintal,16,2000.0,3000.0,2025-03-29
3033,Cherry Tomato,Quintal,1,3500.0,4000.0,2025-03-29
3034,Lettuce,Quintal,1,500.0,2500.0,2025-03-29
3035,Celery,Quintal,4,1000.0,5000.0,2025-03-29
3036,Mushroom,Quintal,5,10000.0,13000.0,2025-03-29
3039,Romaine Lettuce,Quintal,1,2000.0,2500.0,2025-03-29
3040,Leeks,Quintal,1,1000.0,4000.0,2025-03-29
3041,Chinese Cucumber,Quintal,6,400.0,800.0,2025-03-29
3042,Chinese Garlic,Quintal,3,6000.0,8000.0,2025-03-29
3001,Coriander,Per Hundred,160580,500.0,1200.0,2025-03-29
3002,Fenugreek,Per Hundred,64835,500.0,1000.0,2025-03-29
3003,Dill,Per Hundred,8660,500.0,800.0,2025-03-29
3004,Spring Onion,Per Hundred,6425,500.0,800.0,2025-03-29
3005,Spinach,Per Hundred,7400,400.0,700.0,2025-03-29
3006,Radish,Per Hundred,3420,500.0,1500.0,2025-03-29
3007,Amaranth Leaves,Per Hundred,6520,400.0,700.0,2025-03-29
3008,Mustard,Per Hundred,450,400.0,600.0,2025-03-29
3009,Amaranth,Per Hundred,2000,400.0,600.0,2025-03-29
3011,Mint,Per Hundred,17850,200.0,500.0,2025-03-29
3014,Chia Seeds,Per Hundred,200,500.0,600.0,2025-03-29
3015,Roselle,Per Hundred,100,400.0,600.0,2025-03-29
3016,Chia,Per Hundred,2950,400.0,800.0,2025-03-29
3022,Iceberg Lettuce,Quintal,8,2000.0,3000.0,2025-03-29
4001,Lemon,Quintal,207,600.0,6000.0,2025-03-29
4002,Guava,Quintal,130,1500.0,5000.0,2025-03-29
4005,Jackfruit,Quintal,8,1000.0,4000.0,2025-03-29
4007,Pear,Quintal,26,5500.0,7500.0,2025-03-29
4027,Pomegranate,Quintal,2,1500.0,7000.0,2025-03-29
4034,Jamun,Quintal,322,4000.0,9000.0,2025-03-29
4038,Pineapple,Quintal,273,2600.0,6600.0,2025-03-29
4044,Fig,Quintal,25,4000.0,10000.0,2025-03-29
4049,Strawberry,Quintal,9,10000.0,15000.0,2025-03-29
4054,Sapodilla,Quintal,190,2000.0,5000.0,2025-03-29
4059,Pomegranate - No.1,Quintal,132,2000.0,15000.0,2025-03-29
4063,Apple - Shimla,Quintal,287,3000.0,14000.0,2025-03-29
4067,Pear,Quintal,12,5000.0,10000.0,2025-03-29
4074,Karonda,Quintal,1624,500.0,1000.0,2025-03-29
4081,Amla,Quintal,28,2500.0,3000.0,2025-03-29
4086,Banana,Quintal,22,500.0,1500.0,2025-03-29
4088,Sweet Lime,Quintal,214,3700.0,6600.0,2025-03-29
4102,Papaya,Quintal,253,700.0,2000.0,2025-03-29
4142,Grapes - Tasgaon,Quintal,588,2000.0,11000.0,2025-03-29
5003,Rice - Basmati,Quintal,43,7000.0,12000.0,2025-03-29
5004,Rice - Basmati Dubar,Quintal,569,5500.0,7000.0,2025-03-29
5005,Rice - Mogara,Quintal,560,4500.0,6000.0,2025-03-29
5006,Rice Flakes,Quintal,623,3500.0,4000.0,2025-03-29
5007,Rice - Ambemohar,Quintal,41,6500.0,8500.0,2025-03-29
5008,Rice - Kolam,Quintal,665,4000.0,6800.0,2025-03-29
5010,Rice - Dass,Quintal,681,3500.0,3900.0,2025-03-29
5011,Rice - Ukada,Quintal,413,3300.0,4400.0,2025-03-29
5012,Rice - Masuri,Quintal,422,3600.0,4000.0,2025-03-29
5013,Rice - Indrayani,Quintal,103,4500.0,6000.0,2025-03-29
5015,Wheat - Lokwan,Quintal,2591,3200.0,4200.0,2025-03-29
5017,Wheat - Gujarat Vinat,Quintal,667,3400.0,4400.0,2025-03-29
5018,Wheat - Gujarat Tukdi,Quintal,450,3500.0,4500.0,2025-03-29
5019,Wheat - Sinhor,Quintal,432,4000.0,5500.0,2025-03-29
5021,Sorghum - Maldandi No.1,Quintal,748,4600.0,5200.0,2025-03-29
5022,Sorghum - Maldandi No.2,Quintal,426,4400.0,5000.0,2025-03-29
5024,Sorghum - Vasant No.9,Quintal,546,4500.0,4800.0,2025-03-29
5025,Sorghum - Duri,Quintal,422,4200.0,4700.0,2025-03-29
5026,Pearl Millet - Gowran,Quintal,544,2900.0,3000.0,2025-03-29
5027,Pearl Millet - Hybrid,Quintal,370,3000.0,3200.0,2025-03-29
5028,Pearl Millet - Mahico No.910,Quintal,387,3100.0,3300.0,2025-03-29
5030,Peas - Green,Quintal,39,9800.0,11300.0,2025-03-29
5031,Peas - White,Quintal,36,4500.0,5500.0,2025-03-29
5033,Lentil,Quintal,42,6800.0,7400.0,2025-03-29
5035,Coriander - Indore,Quintal,2,10000.0,14000.0,2025-03-29
5036,Coriander - Gowran,Quintal,2,9000.0,11000.0,2025-03-29
5037,Chickpeas - Chafa,Quintal,42,7300.0,8500.0,2025-03-29
5038,Chickpeas - Hybrid,Quintal,40,7200.0,8000.0,2025-03-29
5041,Black Gram,Quintal,3,9000.0,10000.0,2025-03-29
5043,Maize - Red,Quintal,2,2400.0,2700.0,2025-03-29
5045,Tamarind - Old,Quintal,2,6500.0,7500.0,2025-03-29
5046,Tamarind - New,Quintal,4,9500.0,10500.0,2025-03-29
5047,Peanut - Gunguru,Quintal,773,9600.0,10000.0,2025-03-29
5048,Peanut - Jara,Quintal,334,9400.0,10300.0,2025-03-29
5049,Peanut - Spanish,Quintal,425,10600.0,12000.0,2025-03-29
5050,Turmeric - Rajapuri,Quintal,2,15000.0,20000.0,2025-03-29
5054,Green Gram,Quintal,40,9000.0,9500.0,2025-03-29
5057,Horse Gram,Quintal,5,5600.0,6800.0,2025-03-29
5058,Cowpea,Quintal,4,10200.0,12000.0,2025-03-29
5061,Finger Millet,Quintal,3,4500.0,5000.0,2025-03-29
5063,Jaggery - Type 1,Quintal,326,3915.0,4025.0,2025-03-29
5064,Jaggery - Type 2,Quintal,185,3801.0,3901.0,2025-03-29
5065,Red Jaggery,Quintal,215,3615.0,3771.0,2025-03-29
5067,Box Jaggery,Quintal,268,3800.0,4400.0,2025-03-29
5068,Red Chilli - Byadgi,Quintal,14,14000.0,18000.0,2025-03-29
5069,Red Chilli - Guntur,Quintal,12,13500.0,16000.0,2025-03-29
6009,Dates,10 Kg,1531,500.0,1500.0,2025-03-29
6011,Grated Coconut,25 Kg,1645,2850.0,2950.0,2025-03-29
6018,Amaranth,50 Kg,1250,6400.0,7400.0,2025-03-29
7001,Jasmine,1 Kg,855,400.0,600.0,2025-03-29
7002,Marigold,1 Kg,271,200.0,300.0,2025-03-29
7003,Jasmine,1 Kg,10,400.0,600.0,2025-03-29
7005,Tube Rose,1 Kg,4748,80.0,120.0,2025-03-29
7006,Marigold,1 Kg,34821,20.0,40.0,2025-03-29
7007,Holy Basil,1 Kg,2276,20.0,40.0,2025-03-29
7009,Lightning,1 Kg,3506,20.0,40.0,2025-03-29
7011,White Chrysanthemum,1 Kg,1205,40.0,80.0,2025-03-29
7012,Yellow Chrysanthemum,1 Kg,677,60.0,80.0,2025-03-29
7013,Aster,Per Hundred,3887,6.0,12.0,2025-03-29
7014,Galanda,Per Hundred,873,6.0,12.0,2025-03-29
7015,Lily,Bundle,2657,10.0,18.0,2025-03-29
7016,Rose,Bunch,6076,10.0,20.0,2025-03-29
7018,Tube Rose Stick,Bunch,554,20.0,30.0,2025-03-29
7020,Golden D.J.,Bunch,1169,20.0,30.0,2025-03-29
7021,Gladiolus Plain,Bunch,431,20.0,30.0,2025-03-29
7022,Gladiolus Colored,Bunch,541,40.0,60.0,2025-03-29
7027,Tats,Bunch,111,20.0,30.0,2025-03-29
7028,Gypsy,Bunch,357,100.0,150.0,2025-03-29
7031,Gerbera,Bunch,7171,10.0,20.0,2025-03-29
7032,Carnation,Bunch,812,80.0,120.0,2025-03-29
7033,Dutch Rose,Bunch,5117,50.0,80.0,2025-03-29
7035,Portia Tree,Per Piece,4748,6.0,10.0,2025-03-29
7036,Hibiscus,Per Hundred,258,4.0,6.0,2025-03-29
7038,Lilium,Bunch,172,400.0,600.0,2025-03-29
7039,Orchid,Bunch,31,300.0,450.0,2025-03-29
7040,Anthurium,Bunch,74,60.0,90.0,2025-03-29
7041,Grass,Bunch,2768,10.0,20.0,2025-03-29
7042,Leaf,Bunch,4379,20.0,30.0,2025-03-29
1001,Onion,Quintal,8376,1000.0,2000.0,2025-03-28
1002,Potato,Quintal,4729,800.0,2000.0,2025-03-28
1003,Garlic,Quintal,265,4000.0,10000.0,2025-03-28
1004,Ginger,Quintal,397,1000.0,2500.0,2025-03-28
2001,Ladyfinger,Quintal,297,1200.0,4500.0,2025-03-28
2002,Cluster Beans,Quintal,153,3000.0,7000.0,2025-03-28
2003,Tomato,Quintal,1175,600.0,1200.0,2025-03-28
2004,Peas,Quintal,164,3000.0,5500.0,2025-03-28
2005,Ridge Gourd,Quintal,186,2500.0,5000.0,2025-03-28
2006,Tinda,Quintal,46,2000.0,4000.0,2025-03-28
2007,Green Chilli,Quintal,736,3000.0,5000.0,2025-03-28
2008,Bottle Gourd,Quintal,147,600.0,1600.0,2025-03-28
2010,Cucumber,Quintal,815,800.0,1600.0,2025-03-28
2011,Bitter Gourd,Quintal,95,2000.0,3000.0,2025-03-28
2012,Yam,Quintal,238,600.0,1500.0,2025-03-28
2013,Carrot,Quintal,755,1000.0,2000.0,2025-03-28
2014,Snake Gourd,Quintal,9,2500.0,4500.0,2025-03-28
2015,Pointed Gourd,Quintal,5,2000.0,2500.0,2025-03-28
2016,Cauliflower,Quintal,676,500.0,1000.0,2025-03-28
2017,Cabbage,Quintal,585,300.0,700.0,2025-03-28
2018,Brinjal,Quintal,274,1000.0,4000.0,2025-03-28
2019,Pumpkin,Quintal,244,1000.0,2500.0,2025-03-28
2020,Elephant Foot Yam,Quintal,9,1500.0,5000.0,2025-03-28
2021,Ivy Gourd,Quintal,52,2000.0,4000.0,2025-03-28
2022,Beetroot,Quintal,186,500.0,1500.0,2025-03-28
2023,Ash Gourd,Quintal,226,1000.0,2500.0,2025-03-28
2024,Parwal,Quintal,4,3000.0,6000.0,2025-03-28
2026,Hyacinth Beans,Quintal,34,3000.0,5000.0,2025-03-28
2027,Drumstick,Quintal,196,1000.0,4000.0,2025-03-28
2028,Raw Mango,Quintal,258,1000.0,5000.0,2025-03-28
2029,Chow Chow,Quintal,6,500.0,3000.0,2025-03-28
2032,Amaranth Leaves,Quintal,33,2000.0,3000.0,2025-03-28
2033,Taro,Quintal,55,2000.0,3000.0,2025-03-28
2035,Pointed Gourd,Quintal,27,4000.0,5000.0,2025-03-28
2036,Zucchini,Quintal,20,2000.0,5000.0,2025-03-28
2037,Curry Leaves,Quintal,33,3000.0,5000.0,2025-03-28
2040,Colocasia,Quintal,3,1000.0,4000.0,2025-03-28
3023,Red and Yellow Pumpkin,Quintal,13,2000.0,5000.0,2025-03-28
3024,Basil,Quintal,1,2500.0,3000.0,2025-03-28
3025,Broccoli,Quintal,30,1500.0,4000.0,2025-03-28
3028,Chinese Cabbage,Quintal,1,2500.0,3000.0,2025-03-28
3029,Red Cabbage,Quintal,4,1000.0,2000.0,2025-03-28
3031,Baby Corn,Quintal,3,5000.0,6000.0,2025-03-28
3032,Zucchini,Quintal,9,2000.0,3000.0,2025-03-28
3033,Cherry Tomato,Quintal,1,2000.0,2500.0,2025-03-28
3034,Lettuce,Quintal,2,500.0,2500.0,2025-03-28
3035,Celery,Quintal,4,1000.0,5000.0,2025-03-28
3036,Mushroom,Quintal,6,10000.0,13000.0,2025-03-28
3037,Lotus Root,Quintal,1,4500.0,5000.0,2025-03-28
3039,Romaine Lettuce,Quintal,1,2000.0,2500.0,2025-03-28
3041,Chinese Cucumber,Quintal,8,400.0,1000.0,2025-03-28
3042,Chinese Garlic,Quintal,2,6000.0,7000.0,2025-03-28
3001,Coriander,Per Hundred,142730,500.0,1200.0,2025-03-28
3002,Fenugreek,Per Hundred,59700,400.0,1000.0,2025-03-28
3003,Dill,Per Hundred,17550,400.0,800.0,2025-03-28
3004,Spring Onion,Per Hundred,12560,500.0,1000.0,2025-03-28
3005,Spinach,Per Hundred,10210,500.0,800.0,2025-03-28
3006,Radish,Per Hundred,3742,400.0,1200.0,2025-03-28
3007,Amaranth Leaves,Per Hundred,3150,500.0,800.0,2025-03-28
3008,Mustard,Per Hundred,450,400.0,700.0,2025-03-28
3009,Amaranth,Per Hundred,1650,400.0,800.0,2025-03-28
3011,Mint,Per Hundred,18150,200.0,500.0,2025-03-28
3014,Chia Seeds,Per Hundred,200,500.0,600.0,2025-03-28
3016,Chia,Per Hundred,2350,400.0,1000.0,2025-03-28
3022,Iceberg Lettuce,Quintal,6,2000.0,3000.0,2025-03-28
4001,Lemon,Quintal,254,500.0,6000.0,2025-03-28
4002,Guava,Quintal,126,2000.0,5000.0,2025-03-28
4005,Jackfruit,Quintal,85,1000.0,4000.0,2025-03-28
4007,Pear,Quintal,9,5500.0,9500.0,2025-03-28
4027,Pomegranate,Quintal,2,1500.0,7000.0,2025-03-28
4034,Jamun,Quintal,303,4000.0,9000.0,2025-03-28
4038,Pineapple,Quintal,165,2600.0,6600.0,2025-03-28
4044,Fig,Quintal,21,5000.0,10000.0,2025-03-28
4049,Strawberry,Quintal,9,10000.0,20000.0,2025-03-28
4051,Jujube,Quintal,2,1000.0,4000.0,2025-03-28
4054,Sapodilla,Quintal,231,2000.0,5000.0,2025-03-28
4059,Pomegranate - No.1,Quintal,107,1500.0,15000.0,2025-03-28
4063,Apple - Shimla,Quintal,292,3000.0,14000.0,2025-03-28
4074,Karonda,Quintal,1734,500.0,1200.0,2025-03-28
4081,Amla,Quintal,41,2500.0,3000.0,2025-03-28
4086,Banana,Quintal,23,500.0,2500.0,2025-03-28
4088,Sweet Lime,Quintal,196,4000.0,6000.0,2025-03-28
4102,Papaya,Quintal,124,700.0,2000.0,2025-03-28
4142,Grapes - Tasgaon,Quintal,608,2000.0,13000.0,2025-03-28
5003,Rice - Basmati,Quintal,46,6800.0,12000.0,2025-03-28
5004,Rice - Basmati Dubar,Quintal,772,5500.0,6800.0,2025-03-28
5005,Rice - Mogara,Quintal,556,4500.0,6200.0,2025-03-28
5006,Rice Flakes,Quintal,621,3600.0,4000.0,2025-03-28
5007,Rice - Ambemohar,Quintal,43,6500.0,8600.0,2025-03-28
5008,Rice - Kolam,Quintal,669,4000.0,7000.0,2025-03-28
5010,Rice - Dass,Quintal,678,3400.0,3800.0,2025-03-28
5011,Rice - Ukada,Quintal,411,3300.0,4500.0,2025-03-28
5012,Rice - Masuri,Quintal,424,3500.0,4000.0,2025-03-28
5013,Rice - Indrayani,Quintal,107,4500.0,5800.0,2025-03-28
5015,Wheat - Lokwan,Quintal,2589,3200.0,4000.0,2025-03-28
5017,Wheat - Gujarat Vinat,Quintal,668,3500.0,4300.0,2025-03-28
5018,Wheat - Gujarat Tukdi,Quintal,453,3600.0,4500.0,2025-03-28
5019,Wheat - Sinhor,Quintal,435,4000.0,5600.0,2025-03-28
5021,Sorghum - Maldandi No.1,Quintal,746,4800.0,5400.0,2025-03-28
5022,Sorghum - Maldandi No.2,Quintal,422,4600.0,5000.0,2025-03-28
5024,Sorghum - Vasant No.9,Quintal,548,4400.0,4700.0,2025-03-28
5025,Sorghum - Duri,Quintal,419,4300.0,4800.0,2025-03-28
5026,Pearl Millet - Gowran,Quintal,546,2800.0,2900.0,2025-03-28
5027,Pearl Millet - Hybrid,Quintal,374,2900.0,3000.0,2025-03-28
5028,Pearl Millet - Mahico No.910,Quintal,385,3100.0,3300.0,2025-03-28
5030,Peas - Green,Quintal,37,10000.0,11400.0,2025-03-28
5031,Peas - White,Quintal,34,4400.0,5600.0,2025-03-28
5033,Lentil,Quintal,41,7000.0,7500.0,2025-03-28
5035,Coriander - Indore,Quintal,2,10000.0,13000.0,2025-03-28
5036,Coriander - Gowran,Quintal,1,9000.0,10000.0,2025-03-28
5037,Chickpeas - Chafa,Quintal,45,7200.0,8400.0,2025-03-28
5038,Chickpeas - Hybrid,Quintal,42,7000.0,8000.0,2025-03-28
5041,Black Gram,Quintal,2,9000.0,10000.0,2025-03-28
5043,Maize - Red,Quintal,3,2300.0,2500.0,2025-03-28
5045,Tamarind - Old,Quintal,3,6000.0,7500.0,2025-03-28
5046,Tamarind - New,Quintal,4,9000.0,10000.0,2025-03-28
5047,Peanut - Gunguru,Quintal,770,9400.0,10000.0,2025-03-28
5048,Peanut - Jara,Quintal,331,9600.0,10200.0,2025-03-28
5049,Peanut - Spanish,Quintal,427,10400.0,12000.0,2025-03-28
5050,Turmeric - Rajapuri,Quintal,1,15000.0,19000.0,2025-03-28
5054,Green Gram,Quintal,37,8800.0,9600.0,2025-03-28
5057,Horse Gram,Quintal,3,5500.0,6700.0,2025-03-28
